tournament,round,date,home,hg,ag,away,resultado,resultado_num,total_goles
Apertura 2021,1,22/jul/21,Querétaro,0,0,América,E,1,0
Apertura 2021,1,23/jul/21,Necaxa,0,3,Santos,V,2,3
Apertura 2021,1,23/jul/21,FC Juárez,1,3,Toluca,V,2,4
Apertura 2021,1,24/jul/21,Pachuca,4,0,León,L,0,4
Apertura 2021,1,24/jul/21,Guadalajara,1,2,Atl. San Luis,V,2,3
Apertura 2021,1,25/jul/21,Pumas,0,0,Atlas,E,1,0
Apertura 2021,1,25/jul/21,Monterrey,1,1,Puebla,E,1,2
Apertura 2021,1,25/jul/21,Tijuana,1,2,Tigres,V,2,3
Apertura 2021,1,26/jul/21,Cruz Azul,0,2,Mazatlán,V,2,2
Apertura 2021,2,30/jul/21,Mazatlán,2,1,Pachuca,L,0,3
Apertura 2021,2,30/jul/21,Puebla,0,2,Guadalajara,V,2,2
Apertura 2021,2,31/jul/21,León,2,1,Tijuana,L,0,3
Apertura 2021,2,31/jul/21,América,2,1,Necaxa,L,0,3
Apertura 2021,2,31/jul/21,Monterrey,2,0,Pumas,L,0,2
Apertura 2021,2,31/jul/21,Atlas,2,0,FC Juárez,L,0,2
Apertura 2021,2,01/ago/21,Toluca,3,1,Tigres,L,0,4
Apertura 2021,2,01/ago/21,Santos,1,1,Cruz Azul,E,1,2
Apertura 2021,2,02/ago/21,Atl. San Luis,1,1,Querétaro,E,1,2
Apertura 2021,3,05/ago/21,Querétaro,0,1,León,V,2,1
Apertura 2021,3,06/ago/21,Mazatlán,1,1,Monterrey,E,1,2
Apertura 2021,3,06/ago/21,Necaxa,1,2,Cruz Azul,V,2,3
Apertura 2021,3,06/ago/21,Tijuana,0,2,Toluca,V,2,2
Apertura 2021,3,07/ago/21,Guadalajara,2,2,FC Juárez,E,1,4
Apertura 2021,3,07/ago/21,América,2,0,Puebla,L,0,2
Apertura 2021,3,07/ago/21,Tigres,1,1,Santos,E,1,2
Apertura 2021,3,08/ago/21,Pumas,1,3,Atl. San Luis,V,2,4
Apertura 2021,3,09/ago/21,Pachuca,0,1,Atlas,V,2,1
Apertura 2021,4,12/ago/21,Atl. San Luis,0,2,Necaxa,V,2,2
Apertura 2021,4,13/ago/21,Puebla,1,1,Tigres,E,1,2
Apertura 2021,4,13/ago/21,FC Juárez,1,1,Tijuana,E,1,2
Apertura 2021,4,14/ago/21,Pumas,0,0,Querétaro,E,1,0
Apertura 2021,4,14/ago/21,León,3,0,Mazatlán,L,0,3
Apertura 2021,4,14/ago/21,Cruz Azul,4,0,Toluca,L,0,4
