equipo,ataque,defensa,poder
Toluca,0.39518945859532206,-0.006319499777365541,0.3888699588179565
Pachuca,0.09432276324331611,0.027702052445006946,0.06662071079830917
Cruz Azul,0.1543540273873129,-0.1163891251388395,0.0379649022484734
Monterrey,0.24038805814272282,-0.20630551053547208,0.03408254760725074
Pumas,-0.01298866504736531,-0.005471614477214033,-0.01846027952457934
Atl. San Luis,0.0009046925312390491,0.04917589977617718,-0.04827120724493813
Tigres,0.243570801286323,-0.2938389746699348,-0.05026817338361181
América,0.26408928673761084,-0.36430123448875473,-0.10021194775114389
León,-0.10888392516935738,-0.03087209788061792,-0.1397560230499753
Atlas,-0.11952562345099214,0.037708079918349374,-0.1572337033693415
Guadalajara,0.07279901682823653,-0.24210358017152242,-0.1693045633432859
Tijuana,-0.0636858071870999,0.1764024822465741,-0.240088289433674
Necaxa,-0.1484224626780909,0.12059562867727837,-0.26901809135536925
Santos,-0.06969828553021055,0.20314502270613077,-0.27284330823634134
Puebla,-0.10166391312727757,0.20290287686500774,-0.3045667899922853
Mazatlán,-0.22207324335495196,0.22476124412054985,-0.4468344874755018
Querétaro,-0.3447309543033251,0.12688404635929404,-0.4716150006626192
FC Juárez,-0.27394522490341217,0.20782246670416357,-0.4817676916075757
